accuracy,loss,val_accuracy,val_loss
0.32526665925979614,1.816765308380127,0.47920000553131104,1.4009904861450195
0.4559110999107361,1.502142310142517,0.5324000120162964,1.312528371810913
0.5068222284317017,1.3773341178894043,0.5672000050544739,1.196669340133667
0.5409111380577087,1.2926318645477295,0.5979999899864197,1.1484185457229614
0.5633777976036072,1.2305870056152344,0.6118000149726868,1.0724929571151733
0.5840444564819336,1.18329656124115,0.6290000081062317,1.0227580070495605
0.6023777723312378,1.1344704627990723,0.6678000092506409,0.9434627890586853
0.6164888739585876,1.092597246170044,0.6758000254631042,0.9180284142494202
0.6287555694580078,1.0607763528823853,0.6535999774932861,0.9603826403617859
0.6410222053527832,1.0356556177139282,0.7021999955177307,0.8476378917694092
